GEOID10,countyshort,county,total population,ethinicity,count,percentage
50009,Essex,Essex County,6306,WHITE ALONE,6138,0.9733587059942912
50011,Franklin,Franklin County,47746,WHITE ALONE,45648,0.9560591463159217
50005,Caledonia,Caledonia County,31227,WHITE ALONE,30138,0.9651263329810741
50001,Addison,Addison County,36821,WHITE ALONE,35078,0.9526628825941718
50021,Rutland,Rutland County,61642,WHITE ALONE,59829,0.9705882352941176
50025,Windham,Windham County,44513,WHITE ALONE,42412,0.952800305528722
50027,Windsor,Windsor County,56670,WHITE ALONE,54563,0.9628198341274042
50023,Washington,Washington County,59534,WHITE ALONE,57192,0.9606611348137198
50013,Grand Isle,Grand Isle County,6970,WHITE ALONE,6641,0.9527977044476327
50015,Lamoille,Lamoille County,24475,WHITE ALONE,23656,0.9665372829417773
50017,Orange,Orange County,28936,WHITE ALONE,28077,0.9703137959635056
50003,Bennington,Bennington County,37125,WHITE ALONE,35858,0.9658720538720539
50019,Orleans,Orleans County,27231,WHITE ALONE,26310,0.9661782527266718
50007,Chittenden,Chittenden County,156545,WHITE ALONE,144752,0.924667028649909
50009,Essex,Essex County,6306,BLACK OR AFRICAN AMERICAN ALONE,18,0.0028544243577545195
50011,Franklin,Franklin County,47746,BLACK OR AFRICAN AMERICAN ALONE,213,0.004461106689565618
50005,Caledonia,Caledonia County,31227,BLACK OR AFRICAN AMERICAN ALONE,167,0.0053479360809555836
50001,Addison,Addison County,36821,BLACK OR AFRICAN AMERICAN ALONE,283,0.0076858314548762935
50021,Rutland,Rutland County,61642,BLACK OR AFRICAN AMERICAN ALONE,334,0.005418383569644074
50025,Windham,Windham County,44513,BLACK OR AFRICAN AMERICAN ALONE,421,0.009457911172017164
50027,Windsor,Windsor County,56670,BLACK OR AFRICAN AMERICAN ALONE,327,0.005770248808893595
50023,Washington,Washington County,59534,BLACK OR AFRICAN AMERICAN ALONE,441,0.007407531830550609
50013,Grand Isle,Grand Isle County,6970,BLACK OR AFRICAN AMERICAN ALONE,25,0.003586800573888092
50015,Lamoille,Lamoille County,24475,BLACK OR AFRICAN AMERICAN ALONE,149,0.006087844739530133
50017,Orange,Orange County,28936,BLACK OR AFRICAN AMERICAN ALONE,110,0.003801492949958529
50003,Bennington,Bennington County,37125,BLACK OR AFRICAN AMERICAN ALONE,308,0.008296296296296296
50019,Orleans,Orleans County,27231,BLACK OR AFRICAN AMERICAN ALONE,162,0.005949102126253167
50007,Chittenden,Chittenden County,156545,BLACK OR AFRICAN AMERICAN ALONE,3319,0.021201571433134243
50009,Essex,Essex County,6306,AMERICAN INDIAN AND ALASKA NATIVE ALONE,36,0.005708848715509039
50011,Franklin,Franklin County,47746,AMERICAN INDIAN AND ALASKA NATIVE ALONE,500,0.010472081430905207
50005,Caledonia,Caledonia County,31227,AMERICAN INDIAN AND ALASKA NATIVE ALONE,138,0.00441925256989144
50001,Addison,Addison County,36821,AMERICAN INDIAN AND ALASKA NATIVE ALONE,88,0.0023899405230710736
50021,Rutland,Rutland County,61642,AMERICAN INDIAN AND ALASKA NATIVE ALONE,150,0.0024334057947503324
50025,Windham,Windham County,44513,AMERICAN INDIAN AND ALASKA NATIVE ALONE,114,0.0025610495810212746
50027,Windsor,Windsor County,56670,AMERICAN INDIAN AND ALASKA NATIVE ALONE,154,0.002717487206634904
50023,Washington,Washington County,59534,AMERICAN INDIAN AND ALASKA NATIVE ALONE,151,0.0025363657741794606
50013,Grand Isle,Grand Isle County,6970,AMERICAN INDIAN AND ALASKA NATIVE ALONE,66,0.009469153515064563
50015,Lamoille,Lamoille County,24475,AMERICAN INDIAN AND ALASKA NATIVE ALONE,94,0.003840653728294178
50017,Orange,Orange County,28936,AMERICAN INDIAN AND ALASKA NATIVE ALONE,85,0.002937517279513409
50003,Bennington,Bennington County,37125,AMERICAN INDIAN AND ALASKA NATIVE ALONE,94,0.002531986531986532
50019,Orleans,Orleans County,27231,AMERICAN INDIAN AND ALASKA NATIVE ALONE,123,0.004516910873636664
50007,Chittenden,Chittenden County,156545,AMERICAN INDIAN AND ALASKA NATIVE ALONE,414,0.00264460698201795
50009,Essex,Essex County,6306,ASIAN ALONE,22,0.0034887408816999684
50011,Franklin,Franklin County,47746,ASIAN ALONE,231,0.004838101621078205
50005,Caledonia,Caledonia County,31227,ASIAN ALONE,251,0.008037915906106894
50001,Addison,Addison County,36821,ASIAN ALONE,532,0.014448276798566036
50021,Rutland,Rutland County,61642,ASIAN ALONE,370,0.006002400960384154
50025,Windham,Windham County,44513,ASIAN ALONE,463,0.010401455754498686
50027,Windsor,Windsor County,56670,ASIAN ALONE,529,0.009334745014999118
50023,Washington,Washington County,59534,ASIAN ALONE,502,0.008432156414821783
50013,Grand Isle,Grand Isle County,6970,ASIAN ALONE,21,0.0030129124820659973
50015,Lamoille,Lamoille County,24475,ASIAN ALONE,125,0.005107252298263534
50017,Orange,Orange County,28936,ASIAN ALONE,140,0.004838263754492674
50003,Bennington,Bennington County,37125,ASIAN ALONE,269,0.0072457912457912456
50019,Orleans,Orleans County,27231,ASIAN ALONE,93,0.003415225294700892
50007,Chittenden,Chittenden County,156545,ASIAN ALONE,4399,0.028100546168833243
50009,Essex,Essex County,6306,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,0,0.0
50011,Franklin,Franklin County,47746,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,14,0.0002932182800653458
50005,Caledonia,Caledonia County,31227,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,1,3.202356934703942e-05
50001,Addison,Addison County,36821,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,6,0.0001629504902093914
50021,Rutland,Rutland County,61642,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,10,0.0001622270529833555
50025,Windham,Windham County,44513,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,21,0.00047177229124076113
50027,Windsor,Windsor County,56670,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,13,0.00022939827068995942
50023,Washington,Washington County,59534,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,11,0.00018476836765545738
50013,Grand Isle,Grand Isle County,6970,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,4,0.0005738880918220947
50015,Lamoille,Lamoille County,24475,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,4,0.0001634320735444331
50017,Orange,Orange County,28936,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,3,0.00010367708045341443
50003,Bennington,Bennington County,37125,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,16,0.000430976430976431
50019,Orleans,Orleans County,27231,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,9,0.0003305056736807315
50007,Chittenden,Chittenden County,156545,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,48,0.0003066210993644
50009,Essex,Essex County,6306,OTHER RACE,9,0.0014272121788772598
50011,Franklin,Franklin County,47746,OTHER RACE,125,0.0026180203577263017
50005,Caledonia,Caledonia County,31227,OTHER RACE,92,0.0029461683799276266
50001,Addison,Addison County,36821,OTHER RACE,202,0.00548599983704951
50021,Rutland,Rutland County,61642,OTHER RACE,150,0.0024334057947503324
50025,Windham,Windham County,44513,OTHER RACE,211,0.004740188259609552
50027,Windsor,Windsor County,56670,OTHER RACE,141,0.0024880889359449442
50023,Washington,Washington County,59534,OTHER RACE,185,0.003107468001478147
50013,Grand Isle,Grand Isle County,6970,OTHER RACE,18,0.002582496413199426
50015,Lamoille,Lamoille County,24475,OTHER RACE,83,0.0033912155260469867
50017,Orange,Orange County,28936,OTHER RACE,82,0.0028338401990599944
50003,Bennington,Bennington County,37125,OTHER RACE,113,0.003043771043771044
50019,Orleans,Orleans County,27231,OTHER RACE,89,0.003268333884176123
50007,Chittenden,Chittenden County,156545,OTHER RACE,605,0.0038647034399054586
50009,Essex,Essex County,6306,TWO OR MORE RACES,83,0.013162067871868062
50011,Franklin,Franklin County,47746,TWO OR MORE RACES,1015,0.02125832530473757
50005,Caledonia,Caledonia County,31227,TWO OR MORE RACES,440,0.014090370512697346
50001,Addison,Addison County,36821,TWO OR MORE RACES,632,0.017164118302055893
50021,Rutland,Rutland County,61642,TWO OR MORE RACES,799,0.012961941533370104
50025,Windham,Windham County,44513,TWO OR MORE RACES,871,0.019567317412890615
50027,Windsor,Windsor County,56670,TWO OR MORE RACES,943,0.01664019763543321
50023,Washington,Washington County,59534,TWO OR MORE RACES,1052,0.01767057479759465
50013,Grand Isle,Grand Isle County,6970,TWO OR MORE RACES,195,0.027977044476327116
50015,Lamoille,Lamoille County,24475,TWO OR MORE RACES,364,0.014872318692543412
50017,Orange,Orange County,28936,TWO OR MORE RACES,439,0.015171412773016311
50003,Bennington,Bennington County,37125,TWO OR MORE RACES,467,0.012579124579124579
50019,Orleans,Orleans County,27231,TWO OR MORE RACES,445,0.016341669420880615
50007,Chittenden,Chittenden County,156545,TWO OR MORE RACES,3008,0.019214922226835733
50009,Essex,Essex County,6306,HISPANIC OR LATINO,59,0.00935616872819537
50011,Franklin,Franklin County,47746,HISPANIC OR LATINO,571,0.011959116994093745
50005,Caledonia,Caledonia County,31227,HISPANIC OR LATINO,331,0.010599801453870048
50001,Addison,Addison County,36821,HISPANIC OR LATINO,685,0.018603514298905516
50021,Rutland,Rutland County,61642,HISPANIC OR LATINO,681,0.01104766230816651
50025,Windham,Windham County,44513,HISPANIC OR LATINO,820,0.018421584705591625
50027,Windsor,Windsor County,56670,HISPANIC OR LATINO,696,0.01228163049232398
50023,Washington,Washington County,59534,HISPANIC OR LATINO,995,0.016713138710652737
50013,Grand Isle,Grand Isle County,6970,HISPANIC OR LATINO,80,0.011477761836441894
50015,Lamoille,Lamoille County,24475,HISPANIC OR LATINO,322,0.013156281920326864
50017,Orange,Orange County,28936,HISPANIC OR LATINO,282,0.009745645562620956
50003,Bennington,Bennington County,37125,HISPANIC OR LATINO,525,0.014141414141414142
50019,Orleans,Orleans County,27231,HISPANIC OR LATINO,305,0.01120047005251368
50007,Chittenden,Chittenden County,156545,HISPANIC OR LATINO,2856,0.018243955412181802
